;Distance [m];Latitude;Longitude;IRI(1);IRI(17);AVG IRI
0;0.0;56.124272405;8.889379662;3.0128529530000003;3.60255662;3.3077047865000004
1;10.0;56.124309137;8.889231902999999;0.940022549;0.7734557670000001;0.8567391580000001
2;20.0;56.124345367;8.889084163;0.9548699740000001;1.065172698;1.010021336
3;30.0;56.124381744;8.888936325;0.494686256;1.16227782;0.828482038
4;40.0;56.124418758999994;8.888787711;0.973464879;1.5040106359999998;1.2387377575
5;50.0;56.124455733000005;8.888639065;1.0845983540000002;1.902787321;1.4936928375
6;60.0;56.124492701;8.888490816000001;1.681524519;1.73029974;1.7059121295000002
7;70.0;56.12452974399999;8.888342853;0.877151778;0.8770020620000001;0.87707692
8;80.0;56.124566748;8.88819477;1.470306243;1.358599162;1.4144527025
9;90.0;56.124603787;8.888046381;1.642970534;1.7423343530000002;1.6926524435
10;100.0;56.124640301999996;8.887899352;0.755349933;1.082787333;0.919068633
11;110.0;56.124675986999996;8.88775037;1.353710075;2.278937103;1.816323589
12;120.0;56.124710998000005;8.887601095;1.2712042590000001;2.088505056;1.6798546575
13;130.0;56.12474580399999;8.887451481;0.7662889;0.774010394;0.770149647
14;140.0;56.124780853999994;8.887301426;0.7013846009999999;0.858785131;0.7800848659999999
15;150.0;56.124815797;8.887151289;0.39657916299999996;1.063665828;0.7301224955
16;160.0;56.124850752;8.887001178;1.39825658;1.140972273;1.2696144265
17;170.0;56.12488576;8.886851131;0.804546175;0.96614331;0.8853447425000001
18;180.0;56.124920712;8.886701065;1.201138408;0.933979837;1.0675591225
19;190.0;56.124955227;8.886552552000001;0.984830377;0.7661718679999999;0.8755011225
20;200.0;56.124990275;8.886402678;0.9181709159999999;1.334440392;1.126305654
21;210.0;56.12502580100001;8.886252789;0.92563595;0.939249873;0.9324429114999999
22;220.0;56.12506147;8.886102917999999;1.44102134;1.450063474;1.445542407
23;230.0;56.125097014;8.88595318;1.634640409;2.014777855;1.8247091320000002
24;240.0;56.125132573;8.885804067999999;1.376156531;2.134317353;1.755236942
25;250.0;56.125168213;8.885655018;1.133790139;1.4191402869999998;1.2764652129999998
26;260.0;56.125203778999996;8.885505492;0.894089927;0.915237072;0.9046634995
27;270.0;56.125239388999994;8.88535592;1.09216889;0.983935812;1.038052351
28;280.0;56.125274897;8.885206529;2.049960622;2.093519108;2.071739865
29;290.0;56.125310022;8.88505919;1.090788251;1.747425664;1.4191069575
30;300.0;56.125345578;8.884910421;1.584031955;1.519510261;1.551771108
31;310.0;56.125381003;8.884761332;1.420839996;1.075616278;1.248228137
