;distance;latitude;longitude;iri;ppe
0;0.0;56.124272405;8.889379662;3.3077047865000004;0.19163558213304002
1;10.0;56.124309137;8.889231902999999;0.8567391580000001;0.21098061784250502
2;20.0;56.124345367;8.889084163;1.010021336;0.21098061784250502
3;30.0;56.124381744;8.888936325;0.828482038;0.20532701927949698
4;40.0;56.124418758999994;8.888787711;1.2387377575;0.20532701927949698
5;50.0;56.124455733000005;8.888639065;1.4936928375;0.207391002869055
6;60.0;56.124492701;8.888490816000001;1.7059121295000002;0.207391002869055
7;70.0;56.12452974399999;8.888342853;0.87707692;0.18473794953223702
8;80.0;56.124566748;8.88819477;1.4144527025;0.18473794953223702
9;90.0;56.124603787;8.888046381;1.6926524435;0.18786605297962503
10;100.0;56.124640301999996;8.887899352;0.919068633;0.18786605297962503
11;110.0;56.124675986999996;8.88775037;1.816323589;0.21099815694447
12;120.0;56.124710998000005;8.887601095;1.6798546575;0.21099815694447
13;130.0;56.12474580399999;8.887451481;0.770149647;0.24968954448023004
14;140.0;56.124780853999994;8.887301426;0.7800848659999999;0.24968954448023004
15;150.0;56.124815797;8.887151289;0.7301224955;0.267011827395613
16;160.0;56.124850752;8.887001178;1.2696144265;0.267011827395613
17;170.0;56.12488576;8.886851131;0.8853447425000001;0.226683783944992
18;180.0;56.124920712;8.886701065;1.0675591225;0.226683783944992
19;190.0;56.124955227;8.886552552000001;0.8755011225;0.22887116918957698
20;200.0;56.124990275;8.886402678;1.126305654;0.22887116918957698
21;210.0;56.12502580100001;8.886252789;0.9324429114999999;0.2179201493492
22;220.0;56.12506147;8.886102917999999;1.445542407;0.2179201493492
23;230.0;56.125097014;8.88595318;1.8247091320000002;0.189736981649078
24;240.0;56.125132573;8.885804067999999;1.755236942;0.17533262588380552
25;250.0;56.125168213;8.885655018;1.2764652129999998;0.16092827011853303
26;260.0;56.125203778999996;8.885505492;0.9046634995;0.19104334591226504
27;270.0;56.125239388999994;8.88535592;1.038052351;0.19104334591226504
28;280.0;56.125274897;8.885206529;2.071739865;0.18588422617807998
29;290.0;56.125310022;8.88505919;1.4191069575;0.18588422617807998
30;300.0;56.125345578;8.884910421;1.551771108;0.154105458301238
31;310.0;56.125381003;8.884761332;1.248228137;0.154105458301238
32;320.0;56.125416603999994;8.884612354;1.1873952085;0.13826975379304002
33;330.0;56.125452438;8.884463737;0.834324546;0.13826975379304002
34;340.0;56.125488604;8.884315775;0.8395103115;0.134032252545168
35;350.0;56.125525101;8.884168075;0.884347973;0.134032252545168
36;360.0;56.125561807;8.884020522;0.839641659;0.240551900908907
37;370.0;56.125598863;8.883873272;0.9101547720000001;0.20090218638038848
38;380.0;56.125636021999995;8.883727956;1.1079484455;0.16125247185187
39;390.0;56.125674188999994;8.883581878;0.8227536630000001;0.14923406277073398
40;400.0;56.125712803999996;8.883436179;1.4915298055;0.14923406277073398
41;410.0;56.125751517;8.883290803;1.8120541205;0.13345487175468151
42;420.0;56.12579053899999;8.883145746;1.7994229625;0.14266347746150934
43;430.0;56.125830088;8.883000669;1.0013728789999998;0.12595517710224902
44;440.0;56.125870254;8.882855532;1.0852511445;0.12228677150337901
45;450.0;56.12591079;8.882710723999999;0.7978638035000001;0.12698215520279
46;460.0;56.12595088;8.882566251;0.8944806615;0.13266819200282248
47;470.0;56.1259908;8.882423503;0.6261543860000001;0.137179201262765
48;480.0;56.126031636;8.882279777;0.728253357;0.1354152418954625
49;490.0;56.126073112;8.882136694;0.812172452;0.155237545140686
50;500.0;56.126115005;8.881994004;1.4883667075;0.1534735857733835
51;510.0;56.126157648;8.881851318999999;1.630170398;0.15083564116296697
52;520.0;56.126200733999994;8.881709065;1.083860194;0.15083564116296697
53;530.0;56.126243992;8.881567317;0.818890848;0.153013239759356
54;540.0;56.12628749;8.881426245;1.045738093;0.153013239759356
55;550.0;56.126331474;8.881285656000001;1.056399499;0.1339514645023
56;560.0;56.126375823000004;8.881144772999999;1.074630462;0.1339514645023
57;570.0;56.126420505;8.881006126;1.3242228745000002;0.11200074215583998
58;580.0;56.126466571;8.880867245;0.611305915;0.11200074215583998
59;590.0;56.126513402;8.880729445;1.9314729824999999;
60;600.0;56.126560934;8.880592376000001;0.7449417605;0.24831784455925
61;610.0;56.126609658;8.880456431;0.68713052;0.2195011906342
62;620.0;56.126658791000004;8.880320959;1.0075360435;0.1591715672576405
63;630.0;56.126708037;8.88018563;0.7106011725;0.1503689327691925
64;640.0;56.126757502;8.880050642999999;1.06500035;0.14351357620521002
65;650.0;56.126807619;8.879916413;0.45487672;0.14351357620521002
66;660.0;56.126857818000005;8.879784665;0.8074886059999999;0.2445054759179425
67;670.0;56.126908876;8.879652019;0.9364365965000001;0.24095663427563
68;680.0;56.126960851999996;8.879519787000001;1.3172027055000002;0.24095663427563
69;690.0;56.127013757;8.879388228;0.9696451145;0.27838853878216
70;700.0;56.127067142;8.879257277999999;1.2127693965;0.2890964195205675
71;710.0;56.127120508999994;8.879126749;1.2828552659999999;0.19466282332039334
72;720.0;56.127174323;8.878996815;0.7520089415;0.177557317511849
73;730.0;56.127228266;8.878867596000001;0.9207586415000001;0.19755207491738
74;740.0;56.127282558999994;8.87873932;1.3398174355;0.15962598319410068
75;750.0;56.127336918000005;8.878613033999999;0.9116284385;0.18900951642791
76;760.0;56.127392971999996;8.878486383;0.6809732774999999;0.18290439093401
77;770.0;56.127449543999994;8.87836048;0.8122285565;0.17985182818705997
78;780.0;56.127506267;8.878235004;0.9379984854999999;0.17679926544010996
79;790.0;56.127563248;8.878110129;1.014567921;0.20644870353163
