Distance [m];Tid [s];Latitude;Longitude;IRI(1);IRI(17); HÃ¸jde [m]; Geoide hÃ¸jde [m]; DOP; Satellitter; Fixtype; GPStid; Metode; Vcar [rad]
480.000000000; 30.583700000; 56.126031636; 8.882279777; 0.424926720; 1.031579994; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112339.000000000; 0; -1.093203425
490.000000000; 30.986330000; 56.126073112; 8.882136694; 0.784640921; 0.839703983; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112339.000000000; 0; -1.088848233
500.000000000; 31.389220000; 56.126115005; 8.881994004; 1.208469161; 1.768264254; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112339.000000000; 0; -1.083238602
510.000000000; 31.792110000; 56.126157648; 8.881851319; 1.449181062; 1.811159734; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112340.000000000; 0; -1.075753808
520.000000000; 32.195190000; 56.126200734; 8.881709065; 0.924277369; 1.243443019; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112340.000000000; 0; -1.070813298
530.000000000; 32.597970000; 56.126243992; 8.881567317; 0.618409749; 1.019371947; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112341.000000000; 0; -1.068431497
540.000000000; 33.000660000; 56.126287490; 8.881426245; 1.230805650; 0.860670536; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112341.000000000; 0; -1.062771916
550.000000000; 33.403450000; 56.126331474; 8.881285656; 0.962108409; 1.150690589; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112341.000000000; 0; -1.055250525
560.000000000; 33.806130000; 56.126375823; 8.881144773; 1.114780277; 1.034480647; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112342.000000000; 0; -1.052143216
570.000000000; 34.204810000; 56.126420505; 8.881006126; 1.590351625; 1.058094124; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112342.000000000; 0; -1.040653825
580.000000000; 34.607250000; 56.126466571; 8.880867245; 0.680971634; 0.541640196; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112343.000000000; 0; -1.027828813
590.000000000; 35.010080000; 56.126513402; 8.880729445; 1.917934984; 1.945010981; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112343.000000000; 0; -1.018539548
600.000000000; 35.413070000; 56.126560934; 8.880592376; 0.949469994; 0.540413527; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112344.000000000; 0; -1.002599359
610.000000000; 35.816060000; 56.126609658; 8.880456431; 0.646245768; 0.728015272; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112344.000000000; 0; -0.996424437
620.000000000; 36.218780000; 56.126658791; 8.880320959; 1.063159137; 0.951912950; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112344.000000000; 0; -0.991503894
630.000000000; 36.621440000; 56.126708037; 8.880185630; 0.861282638; 0.559919707; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112345.000000000; 0; -0.992429078
640.000000000; 37.023840000; 56.126757502; 8.880050643; 1.023033752; 1.106966948; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112345.000000000; 0; -0.985457182
650.000000000; 37.426220000; 56.126807619; 8.879916413; 0.395464579; 0.514288861; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112346.000000000; 0; -0.974171400
660.000000000; 37.824560000; 56.126857818; 8.879784665; 0.859985245; 0.754991967; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112346.000000000; 0; -0.968906879
670.000000000; 38.226960000; 56.126908876; 8.879652019; 0.967311394; 0.905561799; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112346.000000000; 0; -0.963495433
680.000000000; 38.629340000; 56.126960852; 8.879519787; 1.412058638; 1.222346773; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112347.000000000; 0; -0.949733198
690.000000000; 39.031710000; 56.127013757; 8.879388228; 0.998569651; 0.940720578; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112347.000000000; 0; -0.942114174
700.000000000; 39.434320000; 56.127067142; 8.879257278; 1.168077745; 1.257461048; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112348.000000000; 0; -0.941361785
710.000000000; 39.836750000; 56.127120509; 8.879126749; 1.652235216; 0.913475316; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112348.000000000; 0; -0.934757829
720.000000000; 40.239180000; 56.127174323; 8.878996815; 0.752728501; 0.751289382; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112348.000000000; 0; -0.928584933
730.000000000; 40.641940000; 56.127228266; 8.878867596; 1.043597389; 0.797919894; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112349.000000000; 0; -0.925617576
